episode,reward,length,termination_reason
1,-52.82073457551634,48,Gefallen
2,-43.84045863685324,46,Gefallen
3,-33.68383441399102,51,Gefallen
4,-43.01800865110063,46,Gefallen
5,-32.34413240840006,52,Gefallen
6,-31.561369844242364,53,Gefallen
7,-46.46493672105012,45,Gefallen
8,-61.68616900688219,41,Gefallen
9,-46.20778385614632,45,Gefallen
10,-45.19832061721452,48,Gefallen
11,-56.26591456814147,43,Gefallen
12,-37.77371230145389,48,Gefallen
13,-28.331139747390026,54,Gefallen
14,-32.1031642934542,52,Gefallen
15,-39.572895587817754,47,Gefallen
16,-44.91013866799382,45,Gefallen
17,-54.83521094784643,44,Gefallen
18,-32.808999455206106,52,Gefallen
19,-50.3145893232563,46,Gefallen
20,-34.710540674176485,51,Gefallen
21,-30.850494188293823,53,Gefallen
22,-33.25964808354533,51,Gefallen
23,-50.955355929804846,44,Gefallen
24,-62.93994551459832,41,Gefallen
25,-42.35399079281563,50,Gefallen
26,-34.02749548848219,51,Gefallen
27,-39.639527113103114,47,Gefallen
28,-31.272294636610084,52,Gefallen
29,-31.82971176079326,53,Gefallen
30,-47.53418533466362,49,Gefallen
