episode,reward,length,termination_reason
1,-50.34194340537524,48,Gefallen
2,-49.213398754650534,44,Gefallen
3,-45.443990996725844,46,Gefallen
4,-60.828298777040544,42,Gefallen
5,-41.03803555746313,48,Gefallen
6,-56.6008150161657,46,Gefallen
7,-36.95492575974324,49,Gefallen
8,-58.27449778768971,44,Gefallen
9,-39.38245563903038,48,Gefallen
10,-32.625355107454595,52,Gefallen
11,-37.58289098670733,50,Gefallen
12,-37.546124954252555,49,Gefallen
13,-43.29809361381344,48,Gefallen
14,-48.576895215833105,47,Gefallen
15,-34.575036323830204,50,Gefallen
16,-38.56050938840558,50,Gefallen
17,-62.57563668107412,41,Gefallen
18,-36.02202770098462,49,Gefallen
19,-38.629675089319754,48,Gefallen
20,-62.043625096535855,40,Gefallen
21,-36.817773952282906,49,Gefallen
22,-50.10557741445653,44,Gefallen
23,-40.369742843010066,50,Gefallen
24,-39.612964804510874,51,Gefallen
25,-27.372627206386994,55,Gefallen
26,-36.33098560734364,51,Gefallen
27,-27.621443885954676,55,Gefallen
28,-48.78712450362903,45,Gefallen
29,-51.8870952304388,48,Gefallen
30,-41.35214143484765,47,Gefallen
