episode,reward,length,termination_reason
1,-34.71788854308974,50,Gefallen
2,-47.03241905964803,46,Gefallen
3,-37.306527568559346,48,Gefallen
4,-32.80342966078001,51,Gefallen
5,-36.99953464320345,49,Gefallen
6,-50.65265047926137,47,Gefallen
7,-44.637943354106504,45,Gefallen
8,-35.99008417019496,49,Gefallen
9,-38.17206205289793,51,Gefallen
10,-36.28391518792798,49,Gefallen
11,-46.21388096055419,49,Gefallen
12,-35.37801106701754,50,Gefallen
13,-34.644245771629514,50,Gefallen
14,-37.64284403604165,48,Gefallen
15,-50.627167135905545,44,Gefallen
16,-41.01599608674621,46,Gefallen
17,-26.421794263026754,56,Gefallen
18,-58.00566674833838,43,Gefallen
19,-44.4703715434166,49,Gefallen
20,-39.253238818086196,47,Gefallen
21,-48.41742199684566,46,Gefallen
22,-34.73438204523701,50,Gefallen
23,-54.42293431774999,45,Gefallen
24,-51.42947536921618,44,Gefallen
25,-32.81254648474052,52,Gefallen
26,-58.207832008389694,42,Gefallen
27,-47.88825896948126,45,Gefallen
28,-56.682185501807446,46,Gefallen
29,-33.183393947079836,51,Gefallen
30,-60.77022143528615,41,Gefallen
