episode,reward,length,termination_reason
1,-54.50023835519259,46,Gefallen
2,-30.796894190813745,53,Gefallen
3,-33.28912324376627,51,Gefallen
4,-60.162342948149615,44,Gefallen
5,-42.480406731906825,50,Gefallen
6,-37.16405857751897,48,Gefallen
7,-26.14464855035355,56,Gefallen
8,-35.69574663683598,49,Gefallen
9,-32.135169726274285,52,Gefallen
10,-30.01378624386831,53,Gefallen
11,-53.1831447821118,43,Gefallen
12,-31.377644459115828,53,Gefallen
13,-53.55483036098237,47,Gefallen
14,-35.285384713570025,50,Gefallen
15,-33.1869045938232,51,Gefallen
16,-57.70195195235238,43,Gefallen
17,-56.0330132080317,44,Gefallen
18,-47.53787057328857,48,Gefallen
19,-34.82415056958959,50,Gefallen
20,-33.5741592058788,51,Gefallen
21,-59.685259375493494,42,Gefallen
22,-41.280009042673356,48,Gefallen
23,-38.708490815169256,47,Gefallen
24,-60.68402723200677,42,Gefallen
25,-52.39213016389235,43,Gefallen
26,-38.05159224018757,49,Gefallen
27,-54.64673513140259,44,Gefallen
28,-32.514891277136925,52,Gefallen
29,-54.75620913390907,44,Gefallen
30,-35.01647498447073,50,Gefallen
