episode,reward,length,termination_reason
1,-42.305727431500536,50,Gefallen
2,-45.38383550342214,48,Gefallen
3,-47.68666826489274,49,Gefallen
4,-42.25530250372189,50,Gefallen
5,-57.78431193880155,46,Gefallen
6,-50.647245139241925,45,Gefallen
7,-43.43430549579598,49,Gefallen
8,-50.57894068005769,45,Gefallen
9,-54.45763471378892,43,Gefallen
10,-33.46907405775919,51,Gefallen
11,-34.988739758311965,50,Gefallen
12,-48.19529735641521,46,Gefallen
13,-36.80190925879543,49,Gefallen
14,-31.069791166395504,53,Gefallen
15,-60.523915972406584,42,Gefallen
16,-58.99334851930721,43,Gefallen
17,-52.35869330622379,48,Gefallen
18,-34.93442338868236,50,Gefallen
19,-43.18455190343003,49,Gefallen
20,-37.22589228020393,49,Gefallen
21,-62.764128129377205,41,Gefallen
22,-25.80732671037771,57,Gefallen
23,-46.081443670393234,49,Gefallen
24,-29.9974296413546,53,Gefallen
25,-51.98647629499767,46,Gefallen
26,-57.21501972802195,44,Gefallen
27,-44.076082738015295,48,Gefallen
28,-26.194088154422815,56,Gefallen
29,-34.439314022731466,50,Gefallen
30,-27.18588799618196,56,Gefallen
