episode,reward,length,termination_reason
1,-35.977973076599156,50,Gefallen
2,-56.3088214903736,42,Gefallen
3,-45.05244368111408,45,Gefallen
4,-30.34852737019554,53,Gefallen
5,-59.342033201584265,42,Gefallen
6,-40.5016448126682,48,Gefallen
7,-26.902921280545684,55,Gefallen
8,-46.46099573507501,48,Gefallen
9,-53.94357533762006,44,Gefallen
10,-50.29748509417592,44,Gefallen
11,-32.15277987988884,52,Gefallen
12,-51.34642295092047,45,Gefallen
13,-56.06389048397386,45,Gefallen
14,-50.819935357801064,45,Gefallen
15,-61.39826680426177,42,Gefallen
16,-33.527818610331565,51,Gefallen
17,-36.46773750160162,50,Gefallen
18,-30.32596507854315,53,Gefallen
19,-56.71738492241023,43,Gefallen
20,-52.051532135501574,46,Gefallen
21,-31.705137918078535,53,Gefallen
22,-29.029239061398954,54,Gefallen
23,-43.74910783176742,49,Gefallen
24,-36.01980386819421,49,Gefallen
25,-61.18007626940327,42,Gefallen
26,-46.488500397772164,45,Gefallen
27,-54.03806313035642,46,Gefallen
28,-32.402584115205826,52,Gefallen
29,-55.303896217616284,45,Gefallen
30,-34.56085104274287,50,Gefallen
