episode,reward,length,termination_reason
1,-56.09136918666253,46,Gefallen
2,-57.32275585566308,46,Gefallen
3,-32.11034089127246,52,Gefallen
4,-42.3022307682477,49,Gefallen
5,-56.27822809191339,46,Gefallen
6,-58.29457547540942,42,Gefallen
7,-53.167642888356525,47,Gefallen
8,-38.286516010387984,48,Gefallen
9,-56.983259215413085,43,Gefallen
10,-35.32661050491507,50,Gefallen
11,-43.863927321264846,46,Gefallen
12,-50.25255622234247,45,Gefallen
13,-55.35781582272734,44,Gefallen
14,-37.641953591790596,49,Gefallen
15,-52.642224509294174,46,Gefallen
16,-34.48779073851013,50,Gefallen
17,-49.37833055766894,47,Gefallen
18,-42.44670988367025,47,Gefallen
19,-59.16420069743827,43,Gefallen
20,-47.73411460745328,48,Gefallen
21,-30.731568755768265,53,Gefallen
22,-28.973360755201128,54,Gefallen
23,-39.17267879394252,48,Gefallen
24,-33.49940972002382,51,Gefallen
25,-41.760641568396125,49,Gefallen
26,-45.76527113927349,49,Gefallen
27,-54.51117239119189,44,Gefallen
28,-32.86622870896912,51,Gefallen
29,-42.61551127858768,48,Gefallen
30,-28.6253644801115,54,Gefallen
