episode,reward,length,termination_reason
1,-30.343166346332566,53,Gefallen
2,-47.15424873541928,48,Gefallen
3,-34.84003530878863,50,Gefallen
4,-40.6257748059209,51,Gefallen
5,-42.096470994327305,48,Gefallen
6,-37.014531817692024,49,Gefallen
7,-33.95852878607356,51,Gefallen
8,-33.75853507083703,51,Gefallen
9,-28.887575337858067,55,Gefallen
10,-57.05989161363711,43,Gefallen
11,-43.31140072312402,46,Gefallen
12,-34.48675722488133,51,Gefallen
13,-35.27370949593211,50,Gefallen
14,-35.94210060736958,50,Gefallen
15,-50.178538853471245,46,Gefallen
16,-57.900780369973226,42,Gefallen
17,-34.58818558021879,51,Gefallen
18,-43.037446458363526,48,Gefallen
19,-48.69063379597075,48,Gefallen
20,-61.10534542448425,41,Gefallen
21,-28.2950591141458,55,Gefallen
22,-28.45561634938487,54,Gefallen
23,-49.7526168360891,44,Gefallen
24,-34.276816042747726,52,Gefallen
25,-48.75721749117038,45,Gefallen
26,-48.739107087196885,45,Gefallen
27,-47.51023859778676,44,Gefallen
28,-55.01824971374881,47,Gefallen
29,-36.19475772518406,49,Gefallen
30,-35.966856107968624,50,Gefallen
