episode,reward,length,termination_reason
1,-34.52110289908225,51,Gefallen
2,-47.34428700442304,46,Gefallen
3,-50.92918848821222,46,Gefallen
4,-32.89947237263513,52,Gefallen
5,-35.628676326420475,50,Gefallen
6,-59.78616808055994,43,Gefallen
7,-37.86778035026713,48,Gefallen
8,-35.798293899560434,49,Gefallen
9,-30.973125465945245,53,Gefallen
10,-46.963250637296426,45,Gefallen
11,-27.15696694421308,55,Gefallen
12,-37.49667649297206,49,Gefallen
13,-31.893063900473265,52,Gefallen
14,-36.06120133088892,49,Gefallen
15,-43.0674973035584,47,Gefallen
16,-62.99712776668369,41,Gefallen
17,-29.542602162977744,54,Gefallen
18,-43.45760391288195,49,Gefallen
19,-33.8096807996873,51,Gefallen
20,-41.01083618215837,46,Gefallen
21,-54.425702488964895,45,Gefallen
22,-35.44579448820737,50,Gefallen
23,-36.397295074057624,49,Gefallen
24,-42.02307572833615,49,Gefallen
25,-58.24161021129684,44,Gefallen
26,-36.4203975439219,49,Gefallen
27,-41.66238627734595,49,Gefallen
28,-31.00773329278421,53,Gefallen
29,-40.12119038581002,47,Gefallen
30,-37.17895418995176,48,Gefallen
