episode,reward,length,termination_reason
1,-34.84891006535349,50,Gefallen
2,-47.52651322412495,47,Gefallen
3,-34.615617805896136,50,Gefallen
4,-58.05386511445377,42,Gefallen
5,-59.044741115505666,41,Gefallen
6,-54.88633670201919,45,Gefallen
7,-45.42009133374494,47,Gefallen
8,-48.34515990061876,44,Gefallen
9,-31.327366455572047,53,Gefallen
10,-36.276212095455634,49,Gefallen
11,-26.795914811888053,56,Gefallen
12,-43.97997625037024,47,Gefallen
13,-48.507211384668985,48,Gefallen
14,-46.26751887694709,48,Gefallen
15,-27.174746568903473,55,Gefallen
16,-28.127500391405476,55,Gefallen
17,-52.96762924223246,45,Gefallen
18,-33.015665451898585,52,Gefallen
19,-42.055629069614156,46,Gefallen
20,-35.981641366058895,49,Gefallen
21,-37.97677420391082,48,Gefallen
22,-37.6634271713464,48,Gefallen
23,-30.230211394378614,53,Gefallen
24,-51.18965565900094,44,Gefallen
25,-32.0036413242686,52,Gefallen
26,-29.663520300878062,53,Gefallen
27,-47.85131059681193,49,Gefallen
28,-29.113580639137965,54,Gefallen
29,-41.486810260681914,50,Gefallen
30,-47.37086065576125,45,Gefallen
