episode,reward,length,termination_reason
1,-29.27683425604556,54,Gefallen
2,-48.69482567781023,47,Gefallen
3,-33.20857410987648,51,Gefallen
4,-36.60758827962904,49,Gefallen
5,-49.741687183169915,47,Gefallen
6,-56.475754599068594,42,Gefallen
7,-32.00802947879788,52,Gefallen
8,-38.95165190143617,48,Gefallen
9,-55.01281381604335,46,Gefallen
10,-38.80804027564663,48,Gefallen
11,-34.204562784761094,51,Gefallen
12,-35.71249559784853,52,Gefallen
13,-37.704503318904386,48,Gefallen
14,-34.58160852677857,50,Gefallen
15,-37.01384704135096,49,Gefallen
16,-39.216538715897975,47,Gefallen
17,-30.0170498912438,53,Gefallen
18,-42.20828337051186,50,Gefallen
19,-48.86669020966396,44,Gefallen
20,-36.5821870066512,49,Gefallen
21,-27.263505505180348,56,Gefallen
22,-41.78522133175643,46,Gefallen
23,-33.77108648583659,51,Gefallen
24,-38.77948651418856,48,Gefallen
25,-39.882157996384926,47,Gefallen
26,-35.39430241709623,51,Gefallen
27,-33.203659028895615,52,Gefallen
28,-33.628853015237496,51,Gefallen
29,-56.51055467810982,44,Gefallen
30,-30.43030755215979,53,Gefallen
