episode,reward,length,termination_reason
1,-29.261719456241195,54,Gefallen
2,-28.4874026552599,54,Gefallen
3,-53.86767284998755,45,Gefallen
4,-30.2380860693887,53,Gefallen
5,-54.7973483087844,47,Gefallen
6,-50.68976938091647,46,Gefallen
7,-35.477654493527425,50,Gefallen
8,-37.41986610723606,50,Gefallen
9,-45.84767484224213,46,Gefallen
10,-39.97395411599281,47,Gefallen
11,-39.90794543458585,48,Gefallen
12,-37.047707076134174,56,Gefallen
13,-44.47084593733317,50,Gefallen
14,-32.879780658719426,51,Gefallen
15,-32.05821115678883,52,Gefallen
16,-26.462648729893374,56,Gefallen
17,-30.670223248623643,53,Gefallen
18,-31.3566235504652,52,Gefallen
19,-37.09773544702701,50,Gefallen
20,-43.209461449066964,49,Gefallen
21,-32.50474840972801,52,Gefallen
22,-35.1058715611817,50,Gefallen
23,-44.12139807372658,47,Gefallen
24,-46.597610825368875,48,Gefallen
25,-53.21752702530542,44,Gefallen
26,-43.99573030405929,47,Gefallen
27,-29.36648632250933,54,Gefallen
28,-54.397510046803035,43,Gefallen
29,-34.926313085489994,52,Gefallen
30,-45.667916927811696,46,Gefallen
