episode,reward,length,termination_reason
1,-34.478849479823126,50,Gefallen
2,-44.911760803679094,45,Gefallen
3,-56.1410862015618,44,Gefallen
4,-39.00050249694939,47,Gefallen
5,-37.898525650868024,49,Gefallen
6,-35.45403015095279,51,Gefallen
7,-43.54428781782696,47,Gefallen
8,-60.96903687108751,41,Gefallen
9,-32.195841290191225,52,Gefallen
10,-38.790896313620905,47,Gefallen
11,-37.50766644549696,48,Gefallen
12,-44.344185948991026,48,Gefallen
13,-30.82172520000917,53,Gefallen
14,-54.23191169364001,45,Gefallen
15,-40.83613279163497,49,Gefallen
16,-56.94652856817875,44,Gefallen
17,-35.5572761314925,50,Gefallen
18,-55.38826974541746,43,Gefallen
19,-41.56672880684716,49,Gefallen
20,-37.428490931634116,50,Gefallen
21,-45.12769204020798,49,Gefallen
22,-58.46224318531834,44,Gefallen
23,-47.13067315658541,48,Gefallen
24,-38.58635140138534,47,Gefallen
25,-58.53753773415774,44,Gefallen
26,-52.184160495464866,46,Gefallen
27,-53.547494450266186,46,Gefallen
28,-34.867993645515725,50,Gefallen
29,-33.25847002645156,51,Gefallen
30,-36.71241388517471,51,Gefallen
