episode,reward,length,termination_reason
1,-56.64978684557874,42,Gefallen
2,-37.49179903734319,49,Gefallen
3,-49.13878415709569,45,Gefallen
4,-51.22344436334261,45,Gefallen
5,-42.10651188922477,49,Gefallen
6,-35.374601947292845,51,Gefallen
7,-51.164845453754886,47,Gefallen
8,-27.403262769524417,55,Gefallen
9,-37.20503461764251,48,Gefallen
10,-35.797865037074416,50,Gefallen
11,-33.882267728337695,51,Gefallen
12,-30.155280886328384,53,Gefallen
13,-52.06352699749881,45,Gefallen
14,-57.66520503582389,44,Gefallen
15,-60.92534902955163,41,Gefallen
16,-46.9439139130987,48,Gefallen
17,-48.4034670256849,44,Gefallen
18,-39.447065714316416,47,Gefallen
19,-37.08522166126998,50,Gefallen
20,-37.06309326103465,48,Gefallen
21,-42.596211329530746,49,Gefallen
22,-31.371782130036905,53,Gefallen
23,-54.84028692582898,43,Gefallen
24,-36.03911291434445,49,Gefallen
25,-28.961569901674594,54,Gefallen
26,-27.303594436786497,55,Gefallen
27,-29.444242091966643,54,Gefallen
28,-33.7402819379692,51,Gefallen
29,-30.606750594506337,53,Gefallen
30,-39.71425566065697,50,Gefallen
