episode,reward,length,termination_reason
1,-46.82322344117957,46,Gefallen
2,-26.023520694726827,69,Gefallen
3,-36.16130221012931,60,Gefallen
4,-56.63959245663572,55,Gefallen
5,-27.74745560923634,55,Gefallen
6,-40.17772566295148,62,Gefallen
7,-31.472013282336803,64,Gefallen
8,-37.9253181196014,62,Gefallen
9,-49.457187853716164,54,Gefallen
10,-55.16583421879467,44,Gefallen
11,-58.279048862494015,52,Gefallen
12,-25.85954049129279,69,Gefallen
13,-38.480817421924534,50,Gefallen
14,-62.26749805923705,50,Gefallen
15,-33.20325488997554,54,Gefallen
16,-32.86349493887033,64,Gefallen
17,-62.20821141092427,47,Gefallen
18,-39.017977449678355,49,Gefallen
19,-35.896130599521086,50,Gefallen
20,-35.620514997536034,60,Gefallen
21,-37.389829768521366,63,Gefallen
22,-26.206830349927202,56,Gefallen
23,-28.897407080118526,54,Gefallen
24,-50.32020631207039,46,Gefallen
25,-26.24117249663314,69,Gefallen
26,-28.422845178220484,54,Gefallen
27,-47.12187023921964,47,Gefallen
28,-59.38152510925461,44,Gefallen
29,-41.75530399239708,48,Gefallen
30,-54.878501563623495,44,Gefallen
