episode,reward,length,termination_reason
1,-32.26205034118452,52,Gefallen
2,-55.03336785007002,47,Gefallen
3,-55.473727462971496,44,Gefallen
4,-52.48352403179975,46,Gefallen
5,-38.02502266359155,48,Gefallen
6,-54.44856101006187,46,Gefallen
7,-53.575876929218495,43,Gefallen
8,-43.11053039241448,46,Gefallen
9,-49.3285817627968,47,Gefallen
10,-36.3169106588114,49,Gefallen
11,-38.43012105277447,50,Gefallen
12,-32.43820906319756,52,Gefallen
13,-39.03177729863009,48,Gefallen
14,-32.86680936784899,51,Gefallen
15,-29.137885245834724,54,Gefallen
16,-53.87653552806864,45,Gefallen
17,-43.966612907768194,47,Gefallen
18,-33.743843178835746,52,Gefallen
19,-36.728896022536446,49,Gefallen
20,-56.613252638096355,43,Gefallen
21,-34.65950156604569,50,Gefallen
22,-58.88123040614284,43,Gefallen
23,-42.35937987634743,48,Gefallen
24,-52.83405028087325,46,Gefallen
25,-49.08456322859174,44,Gefallen
26,-43.57368166101607,48,Gefallen
27,-32.37626327755507,52,Gefallen
28,-28.41788391277767,54,Gefallen
29,-49.43868588870276,47,Gefallen
30,-51.79681215469305,47,Gefallen
