episode,reward,length,termination_reason
1,-58.08125270271227,42,Gefallen
2,-35.225961657189,50,Gefallen
3,-48.89983032872253,47,Gefallen
4,-36.71626241366853,49,Gefallen
5,-30.379816398958454,53,Gefallen
6,-51.34175479240339,48,Gefallen
7,-41.303041694608986,51,Gefallen
8,-45.68767881386875,46,Gefallen
9,-62.65473871048091,41,Gefallen
10,-34.19654029855474,50,Gefallen
11,-27.829414009938617,55,Gefallen
12,-41.99058293592731,46,Gefallen
13,-45.766316169279115,49,Gefallen
14,-31.25013274775621,53,Gefallen
15,-36.95792766335513,48,Gefallen
16,-33.15455985723308,51,Gefallen
17,-53.59690758010783,45,Gefallen
18,-44.27542886755676,49,Gefallen
19,-36.158271435861415,49,Gefallen
20,-37.33085298810564,48,Gefallen
21,-31.45039224073534,52,Gefallen
22,-44.14957104680595,48,Gefallen
23,-36.41604996911815,49,Gefallen
24,-61.220126316390534,42,Gefallen
25,-47.87303475214221,48,Gefallen
26,-44.68017619957862,46,Gefallen
27,-31.734477776713575,53,Gefallen
28,-37.78809415795315,49,Gefallen
29,-27.710796707947722,55,Gefallen
30,-32.461598800223,52,Gefallen
