episode,reward,length,termination_reason
1,-60.728891187192126,51,Gefallen
2,-49.352329874051996,47,Gefallen
3,-59.69444051925559,44,Gefallen
4,-34.517514493632916,56,Gefallen
5,-49.31286638653237,61,Gefallen
6,-31.335839123227004,53,Gefallen
7,-58.59301638560692,61,Gefallen
8,-45.70857054767394,49,Gefallen
9,-57.06421358440729,44,Gefallen
10,-27.27930027959458,60,Gefallen
11,-36.22355211492827,61,Gefallen
12,-56.92973095432171,53,Gefallen
13,-53.94256725714862,55,Gefallen
14,-31.138901132132375,65,Gefallen
15,-54.8069198209833,44,Gefallen
16,-51.2292485159398,60,Gefallen
17,-36.24742631957344,64,Gefallen
18,-50.16303211140356,48,Gefallen
19,-42.713768647382416,50,Gefallen
20,-23.77841532728982,71,Gefallen
21,-47.158501801732235,58,Gefallen
22,-51.87954949633686,56,Gefallen
23,-56.87767563381074,50,Gefallen
24,-56.18305960138932,46,Gefallen
25,-31.387109759024924,52,Gefallen
26,-59.69909902120966,55,Gefallen
27,-50.297311965166514,48,Gefallen
28,-29.46973484889891,62,Gefallen
29,-57.17408088641718,58,Gefallen
30,-59.04985992022607,43,Gefallen
