episode,reward,length,termination_reason
1,-32.20645810404304,52,Gefallen
2,-45.15458775037364,48,Gefallen
3,-38.99131179508624,48,Gefallen
4,-57.14465779089752,43,Gefallen
5,-62.307843635220486,40,Gefallen
6,-27.796942373346255,55,Gefallen
7,-33.77733790622989,52,Gefallen
8,-27.030137083375323,56,Gefallen
9,-29.72849998889143,53,Gefallen
10,-48.400545682833055,46,Gefallen
11,-49.940598612854224,46,Gefallen
12,-42.34534663175277,46,Gefallen
13,-61.89621800628546,41,Gefallen
14,-33.886219701391624,51,Gefallen
15,-30.53186829406863,53,Gefallen
16,-60.15293586488103,42,Gefallen
17,-54.831603772501964,45,Gefallen
18,-50.2140270984111,48,Gefallen
19,-31.336888630827403,53,Gefallen
20,-28.53079914460612,54,Gefallen
21,-56.541792222171225,44,Gefallen
22,-34.13290892034247,51,Gefallen
23,-54.948420999354994,43,Gefallen
24,-48.48357825929743,44,Gefallen
25,-60.18967475269845,41,Gefallen
26,-35.5273585502124,49,Gefallen
27,-33.18037786120071,52,Gefallen
28,-56.54520050522543,42,Gefallen
29,-37.391442501151964,51,Gefallen
30,-54.191215694108045,45,Gefallen
