episode,reward,length,termination_reason
1,8123.736308647817,5000,Timeout
2,-38.941402884998666,65,Gefallen
3,8023.594449319092,5000,Timeout
4,-22.845730853210284,102,Gefallen
5,-43.495052994658955,99,Gefallen
6,-29.842114798967287,71,Gefallen
7,-26.429037564604158,72,Gefallen
8,8064.5606732372735,5000,Timeout
9,8067.009658553189,5000,Timeout
10,-29.85100017531036,71,Gefallen
11,7978.14862591966,5000,Timeout
12,-22.720185051808016,102,Gefallen
13,-32.524121767953744,70,Gefallen
14,-57.35908664889667,46,Gefallen
15,7976.465277117681,5000,Timeout
16,-43.778990095553254,63,Gefallen
17,8066.905604499096,5000,Timeout
18,-28.880422010249234,102,Gefallen
19,-57.10914787353986,49,Gefallen
20,-38.57140339317074,68,Gefallen
21,-25.163185874302442,72,Gefallen
22,-25.968013206209065,72,Gefallen
23,-54.618630951275165,64,Gefallen
24,-15.263825373694203,103,Gefallen
25,-54.161796731506094,58,Gefallen
26,-41.493539325967966,69,Gefallen
27,-34.40789171214736,70,Gefallen
28,7964.1183615437,5000,Timeout
29,-22.84371376895011,73,Gefallen
30,-25.95083562763243,72,Gefallen
