episode,reward,length,termination_reason
1,-37.81988153732695,48,Gefallen
2,-52.07012819380606,45,Gefallen
3,-28.302825376958594,54,Gefallen
4,-53.14159933499265,47,Gefallen
5,-42.49262941256517,46,Gefallen
6,-35.07998171843769,50,Gefallen
7,-40.03255759169043,49,Gefallen
8,-45.97885706035517,47,Gefallen
9,-54.17599516531039,46,Gefallen
10,-60.362397568102395,42,Gefallen
11,-30.03740447713207,53,Gefallen
12,-36.427768142829635,49,Gefallen
13,-29.294496058240114,54,Gefallen
14,-31.685170118136554,52,Gefallen
15,-28.194642744199726,54,Gefallen
16,-32.39426515060897,52,Gefallen
17,-43.49703516644659,48,Gefallen
18,-35.21232364157072,50,Gefallen
19,-54.65095610843032,43,Gefallen
20,-42.41328026256366,50,Gefallen
21,-29.36661170084099,54,Gefallen
22,-49.61353432122194,48,Gefallen
23,-31.222655301371276,53,Gefallen
24,-34.679650949554784,50,Gefallen
25,-55.40965690188856,44,Gefallen
26,-41.990863665531016,49,Gefallen
27,-36.962100681515224,49,Gefallen
28,-34.37821203482585,50,Gefallen
29,-37.38523204793068,48,Gefallen
30,-56.15053082372149,43,Gefallen
