episode,reward,length,termination_reason
1,-51.584566002009886,46,Gefallen
2,-43.45515245730007,46,Gefallen
3,-27.410925541373274,55,Gefallen
4,-32.96862951312579,52,Gefallen
5,-40.00719924576764,47,Gefallen
6,-58.27240688584644,42,Gefallen
7,-37.2845445208298,49,Gefallen
8,-57.95120264671544,44,Gefallen
9,-45.20507222796591,45,Gefallen
10,-32.72041610852757,52,Gefallen
11,-43.8672092005922,50,Gefallen
12,-46.8288306661708,49,Gefallen
13,-38.9268478137759,49,Gefallen
14,-28.63324576717335,54,Gefallen
15,-50.054072955157736,46,Gefallen
16,-57.61999934868627,45,Gefallen
17,-31.622621779247766,52,Gefallen
18,-53.95367106798565,46,Gefallen
19,-49.321609320821615,47,Gefallen
20,-42.90394513611073,46,Gefallen
21,-57.92109820411139,43,Gefallen
22,-35.94818993070787,50,Gefallen
23,-51.419016631093605,45,Gefallen
24,-54.95394695796839,47,Gefallen
25,-26.593060851651515,56,Gefallen
26,-44.197116493508226,49,Gefallen
27,-39.89202745666361,50,Gefallen
28,-44.92412023619258,46,Gefallen
29,-34.3084985771232,51,Gefallen
30,-33.57272259336631,52,Gefallen
