episode,reward,length,termination_reason
1,-34.87738378206406,63,Gefallen
2,-36.01805301949277,51,Gefallen
3,-54.32027466956643,53,Gefallen
4,-62.767285396330806,47,Gefallen
5,-34.5966967086098,61,Gefallen
6,-30.74520207177001,53,Gefallen
7,-48.112030280790364,46,Gefallen
8,-43.12580074807317,53,Gefallen
9,-30.97208966178634,53,Gefallen
10,-45.303719917424665,48,Gefallen
11,-53.7485177572937,47,Gefallen
12,-40.82586257107819,56,Gefallen
13,-28.3730118632932,55,Gefallen
14,-30.664058218045312,53,Gefallen
15,-40.05909276047184,50,Gefallen
16,-49.28330171454374,56,Gefallen
17,-48.78939348303975,48,Gefallen
18,-45.439331390049325,48,Gefallen
19,-27.468741632343253,55,Gefallen
20,-52.19111129889451,45,Gefallen
21,-37.63762732423359,52,Gefallen
22,-28.653435196923937,54,Gefallen
23,-37.76581482561147,60,Gefallen
24,-52.74477798717747,44,Gefallen
25,-28.910076425847805,54,Gefallen
26,-48.64222381810248,49,Gefallen
27,-49.050619787633174,46,Gefallen
28,-47.61549212559591,49,Gefallen
29,-51.35139962054234,47,Gefallen
30,-63.31794044072558,41,Gefallen
