episode,reward,length,termination_reason
1,-54.08799043628029,44,Gefallen
2,-47.04467981875017,47,Gefallen
3,-34.36901061907017,50,Gefallen
4,-48.78255710748654,48,Gefallen
5,-46.57580029790035,47,Gefallen
6,-37.90120962521088,51,Gefallen
7,-31.35952604451819,53,Gefallen
8,-50.74935604648556,45,Gefallen
9,-38.42293591173438,50,Gefallen
10,-35.29715191575036,51,Gefallen
11,-40.0595518575675,47,Gefallen
12,-52.145398646720196,44,Gefallen
13,-50.82098328839892,44,Gefallen
14,-53.81255961187493,44,Gefallen
15,-60.82586151208252,42,Gefallen
16,-36.40009138753019,51,Gefallen
17,-47.548499812434144,46,Gefallen
18,-54.19173063335349,43,Gefallen
19,-46.35850264718714,46,Gefallen
20,-46.522618860402495,48,Gefallen
21,-37.18791404344445,49,Gefallen
22,-46.700812861563755,48,Gefallen
23,-58.69029038893174,43,Gefallen
24,-43.36216947735114,48,Gefallen
25,-31.136506322253226,52,Gefallen
26,-53.10815746901536,43,Gefallen
27,-34.718132772245326,50,Gefallen
28,-35.60368754436834,49,Gefallen
29,-34.049052825155556,51,Gefallen
30,-36.75210260148343,49,Gefallen
