episode,reward,length,termination_reason
1,-40.4490838400999,50,Gefallen
2,-39.07477370282948,49,Gefallen
3,-44.11321863207317,49,Gefallen
4,-37.40950123308384,49,Gefallen
5,-26.524938044831543,56,Gefallen
6,-55.46970568146966,46,Gefallen
7,-33.018237151022134,52,Gefallen
8,-28.141559033455565,54,Gefallen
9,-52.055843748645955,46,Gefallen
10,-44.300878506116845,46,Gefallen
11,-61.70259867259852,42,Gefallen
12,-33.698966169206145,51,Gefallen
13,-36.449411674922786,51,Gefallen
14,-45.010190324068446,49,Gefallen
15,-50.06348801701479,48,Gefallen
16,-54.34333049005365,46,Gefallen
17,-28.807511715300308,55,Gefallen
18,-55.93569208967601,46,Gefallen
19,-33.87319360512042,51,Gefallen
20,-46.78061232507668,45,Gefallen
21,-58.498493683612935,43,Gefallen
22,-48.03562144456545,46,Gefallen
23,-37.194534357184736,48,Gefallen
24,-54.68339444955398,43,Gefallen
25,-48.913013959580965,44,Gefallen
26,-28.819901251384792,55,Gefallen
27,-44.855703175969595,45,Gefallen
28,-50.23406665764797,47,Gefallen
29,-38.5573682956736,49,Gefallen
30,-42.80825614543341,50,Gefallen
