episode,reward,length,termination_reason
1,278.38220154466484,5000,Timeout
2,230.47652011171934,5000,Timeout
3,293.29401064050967,5000,Timeout
4,-45.112473226921146,71,Gefallen
5,261.4709560535749,5000,Timeout
6,210.15019758594525,5000,Timeout
7,255.07452916805792,5000,Timeout
8,227.49934303648135,5000,Timeout
9,266.4651807501808,5000,Timeout
10,276.23564134097234,5000,Timeout
11,291.2683312699724,5000,Timeout
12,244.36952053933888,5000,Timeout
13,276.7976236028406,5000,Timeout
14,236.9505001788152,5000,Timeout
15,270.5956088720375,5000,Timeout
16,293.56434258161863,5000,Timeout
17,227.80558799937296,5000,Timeout
18,271.49837973333314,5000,Timeout
19,293.5147504979934,5000,Timeout
20,289.45948542485695,5000,Timeout
21,275.9335893772786,5000,Timeout
22,-52.07457416763899,71,Gefallen
23,267.94811855711976,5000,Timeout
24,279.93787454422136,5000,Timeout
25,283.8171295059598,5000,Timeout
26,268.93489574299423,5000,Timeout
27,242.2100008259158,5000,Timeout
28,267.7446250946602,5000,Timeout
29,262.8591851615722,5000,Timeout
30,279.166957152535,5000,Timeout
