episode,reward,length,termination_reason
1,-56.74681600243586,46,Gefallen
2,-35.913306979532834,50,Gefallen
3,-53.524023767235605,43,Gefallen
4,-29.576864755521996,54,Gefallen
5,-36.42026731101693,49,Gefallen
6,-57.876633723671446,43,Gefallen
7,-59.45130709310986,41,Gefallen
8,-43.11645425107805,48,Gefallen
9,-32.23686706261908,52,Gefallen
10,-38.88794559190456,48,Gefallen
11,-35.82305228137251,50,Gefallen
12,-32.032638964932076,52,Gefallen
13,-59.627235856968575,43,Gefallen
14,-33.836135512536956,51,Gefallen
15,-39.81561297127741,47,Gefallen
16,-38.053262350460145,51,Gefallen
17,-35.13271344994949,50,Gefallen
18,-52.29065156178021,46,Gefallen
19,-39.001379458383944,47,Gefallen
20,-53.42749421383001,44,Gefallen
21,-33.37700129975107,51,Gefallen
22,-35.331796720542,50,Gefallen
23,-37.41629894309536,50,Gefallen
24,-48.972321480604776,44,Gefallen
25,-52.974961726089994,43,Gefallen
26,-41.44651236187145,47,Gefallen
27,-30.509716985412922,53,Gefallen
28,-35.901348532046825,50,Gefallen
29,-36.17554145443214,49,Gefallen
30,-46.5120484219862,48,Gefallen
