episode,reward,length,termination_reason
1,-59.07110205979685,43,Gefallen
2,-50.66050773749264,46,Gefallen
3,-60.08796401851475,43,Gefallen
4,-34.073430267638514,51,Gefallen
5,-38.97588480384827,49,Gefallen
6,-40.59801553939119,47,Gefallen
7,-38.8003882125007,47,Gefallen
8,-35.76768065828958,49,Gefallen
9,-30.443748830065772,53,Gefallen
10,-35.2386717712035,50,Gefallen
11,-55.77554958540616,46,Gefallen
12,-60.664494579518674,41,Gefallen
13,-36.631543154883516,49,Gefallen
14,-37.276447839353025,49,Gefallen
15,-35.95052425247982,49,Gefallen
16,-59.19121760907741,44,Gefallen
17,-28.279857534777847,55,Gefallen
18,-54.131330494155364,46,Gefallen
19,-36.00310204514578,49,Gefallen
20,-46.48411888445928,48,Gefallen
21,-39.82191873258865,48,Gefallen
22,-54.71068501313572,46,Gefallen
23,-28.06617652309893,55,Gefallen
24,-58.5228448144273,43,Gefallen
25,-43.005918688240854,46,Gefallen
26,-56.043775131173106,46,Gefallen
27,-44.76850583180206,49,Gefallen
28,-35.069069499006645,50,Gefallen
29,-58.28565513795291,43,Gefallen
30,-33.29128583743348,51,Gefallen
