episode,reward,length,termination_reason
1,-30.54245867920703,65,Gefallen
2,-53.843616267175676,45,Gefallen
3,-33.22325447486415,65,Gefallen
4,-44.417793484450215,64,Gefallen
5,-34.731636735876066,66,Gefallen
6,-59.911116864169884,58,Gefallen
7,-37.18174257834719,51,Gefallen
8,-36.956110912405826,63,Gefallen
9,-29.161144215138748,54,Gefallen
10,-24.50034849334449,70,Gefallen
11,-55.24997191359124,46,Gefallen
12,-30.38459462798164,63,Gefallen
13,-34.60549583193357,67,Gefallen
14,-30.529935712965596,67,Gefallen
15,-40.830538875252614,49,Gefallen
16,-54.06695456614193,47,Gefallen
17,-46.560040975944645,60,Gefallen
18,-49.33223158277907,63,Gefallen
19,-38.24776424244935,66,Gefallen
20,-35.42956693711349,51,Gefallen
21,-53.25128961988557,61,Gefallen
22,-43.79762189139031,48,Gefallen
23,-44.26968157322146,49,Gefallen
24,-33.59040163032664,62,Gefallen
25,-39.80423451507543,51,Gefallen
26,-50.94200393303238,56,Gefallen
27,-48.34530642212244,62,Gefallen
28,-38.94480387960685,58,Gefallen
29,-54.432025699773526,59,Gefallen
30,-57.635843194327855,49,Gefallen
