episode,reward,length,termination_reason
1,-34.07353778909207,51,Gefallen
2,-27.184229203050933,56,Gefallen
3,-47.754369088441756,44,Gefallen
4,-33.6309947848772,51,Gefallen
5,-47.933131715858416,47,Gefallen
6,-63.42020133873796,40,Gefallen
7,-35.1750695652638,50,Gefallen
8,-52.1817431766359,43,Gefallen
9,-50.14795671802531,47,Gefallen
10,-36.55510263754838,49,Gefallen
11,-50.43895762167972,47,Gefallen
12,-33.454268517421625,51,Gefallen
13,-34.23868589193829,50,Gefallen
14,-48.47282918493049,46,Gefallen
15,-34.64199072068115,50,Gefallen
16,-43.10431966459876,48,Gefallen
17,-39.49071615046171,50,Gefallen
18,-44.85606037623943,46,Gefallen
19,-25.54492186329935,57,Gefallen
20,-61.37290473153565,42,Gefallen
21,-52.71459433990961,47,Gefallen
22,-42.76077829217572,46,Gefallen
23,-36.87731334248963,49,Gefallen
24,-35.434900989472524,50,Gefallen
25,-57.94403760896121,44,Gefallen
26,-44.47995959895608,45,Gefallen
27,-57.66051991945411,42,Gefallen
28,-54.78738035890138,46,Gefallen
29,-52.3220835670526,47,Gefallen
30,-36.15628242129021,49,Gefallen
