episode,reward,length,termination_reason
1,-51.83933773568622,56,Gefallen
2,-56.2077025183982,46,Gefallen
3,-30.64238051430536,57,Gefallen
4,-32.516823155364676,69,Gefallen
5,-35.02547285035301,64,Gefallen
6,-50.624483597370165,65,Gefallen
7,-60.03398838185502,44,Gefallen
8,-51.241696297760264,64,Gefallen
9,-26.305925014602096,70,Gefallen
10,-48.432382153320766,65,Gefallen
11,-46.11496588300687,55,Gefallen
12,-37.69553745574407,54,Gefallen
13,-22.211773585346492,72,Gefallen
14,-44.159661040333035,50,Gefallen
15,-32.30567269022245,69,Gefallen
16,-60.884970922035365,48,Gefallen
17,-29.930725188449273,69,Gefallen
18,-30.86776305604839,62,Gefallen
19,-48.51608355131854,65,Gefallen
20,-41.53993685348957,50,Gefallen
21,-57.19006502822054,46,Gefallen
22,-25.680999160856615,95,Gefallen
23,-58.22870901950002,44,Gefallen
24,-28.673734844059908,69,Gefallen
25,-46.958340967879984,61,Gefallen
26,-41.46722248367087,50,Gefallen
27,-31.314311969094206,55,Gefallen
28,-39.68082604058905,63,Gefallen
29,-58.72866128224658,45,Gefallen
30,-25.743518512641273,71,Gefallen
