episode,reward,length,termination_reason
1,-39.61439023627463,47,Gefallen
2,-47.11887548811992,44,Gefallen
3,-28.764891970682626,55,Gefallen
4,-53.69395357911327,46,Gefallen
5,-41.07142147565308,46,Gefallen
6,-43.234492225474916,48,Gefallen
7,-33.947141122283156,51,Gefallen
8,-56.85502755884028,46,Gefallen
9,-50.09158764702324,44,Gefallen
10,-43.91534471548072,49,Gefallen
11,-40.08053698621564,47,Gefallen
12,-49.35499917786253,46,Gefallen
13,-37.16876014284396,51,Gefallen
14,-56.6234308491431,44,Gefallen
15,-44.00294502053292,47,Gefallen
16,-43.271380930376274,49,Gefallen
17,-56.99870611021164,42,Gefallen
18,-34.8076388674035,52,Gefallen
19,-31.54883811610621,52,Gefallen
20,-37.22063483146488,48,Gefallen
21,-34.78604126507973,51,Gefallen
22,-59.34429775703178,43,Gefallen
23,-32.89424214935261,52,Gefallen
24,-26.538246591990287,56,Gefallen
25,-31.965515165558855,52,Gefallen
26,-36.195784718883786,49,Gefallen
27,-52.10961436131388,44,Gefallen
28,-47.47945165541647,47,Gefallen
29,-39.191518593664924,49,Gefallen
30,-48.32723384658152,49,Gefallen
