episode,reward,length,termination_reason
1,-29.42655762606948,54,Gefallen
2,-37.13985185811381,48,Gefallen
3,-43.26668571136427,46,Gefallen
4,-35.30487285127566,50,Gefallen
5,-36.70713277441678,50,Gefallen
6,-55.344824829286146,43,Gefallen
7,-52.67390121752362,46,Gefallen
8,-36.332085974225926,49,Gefallen
9,-55.30850105860345,44,Gefallen
10,-35.330242717555564,50,Gefallen
11,-35.90275059393127,49,Gefallen
12,-31.02842258032929,53,Gefallen
13,-38.27018142206566,48,Gefallen
14,-54.38972916550368,44,Gefallen
15,-54.29077199449755,45,Gefallen
16,-43.47862862409158,48,Gefallen
17,-54.60859680329987,45,Gefallen
18,-56.246860135610326,46,Gefallen
19,-33.281864829803624,51,Gefallen
20,-33.373907713774344,51,Gefallen
21,-43.05778195705581,47,Gefallen
22,-46.91895034732658,46,Gefallen
23,-34.49787710667397,50,Gefallen
24,-54.89353624516486,47,Gefallen
25,-38.31010085295677,50,Gefallen
26,-45.64270872429175,45,Gefallen
27,-35.360297413593756,50,Gefallen
28,-48.9973028746634,45,Gefallen
29,-40.94251498841657,46,Gefallen
30,-35.986482222966345,49,Gefallen
