episode,reward,length,termination_reason
1,-48.23700506508733,49,Gefallen
2,-34.855287419295294,50,Gefallen
3,-41.518257101854786,46,Gefallen
4,-36.089579444812436,50,Gefallen
5,-51.30775444501109,44,Gefallen
6,-62.67884242240147,40,Gefallen
7,-41.393987000258164,49,Gefallen
8,-59.05163253174432,41,Gefallen
9,-31.93074213981761,52,Gefallen
10,-54.89321694524282,43,Gefallen
11,-28.163269093460315,54,Gefallen
12,-34.587028200991256,50,Gefallen
13,-42.73526525297928,49,Gefallen
14,-29.6927862532101,54,Gefallen
15,-53.63694488525722,43,Gefallen
16,-50.97549462303089,46,Gefallen
17,-37.77349387444071,51,Gefallen
18,-47.25422751942692,46,Gefallen
19,-33.0809953397339,51,Gefallen
20,-49.679857792970424,44,Gefallen
21,-31.250617322037,53,Gefallen
22,-28.356910039080176,54,Gefallen
23,-38.680416653795135,48,Gefallen
24,-39.19778630321447,50,Gefallen
25,-45.32154634885699,45,Gefallen
26,-33.495249269933765,51,Gefallen
27,-33.87344388665508,51,Gefallen
28,-56.04831636678804,43,Gefallen
29,-34.96152402016,50,Gefallen
30,-61.067258008011095,42,Gefallen
