episode,reward,length,termination_reason
1,-47.68150208370885,45,Gefallen
2,-28.320904391593672,54,Gefallen
3,-26.853640682167935,55,Gefallen
4,-31.00169190081624,53,Gefallen
5,-46.04104876010818,48,Gefallen
6,-60.230931338729484,41,Gefallen
7,-43.02020109160169,46,Gefallen
8,-53.16527839251249,44,Gefallen
9,-32.10156172002175,52,Gefallen
10,-37.95148984755238,51,Gefallen
11,-29.918526200079526,54,Gefallen
12,-31.793515662995574,52,Gefallen
13,-35.60618809086307,50,Gefallen
14,-35.83076887787084,49,Gefallen
15,-50.353939313406116,45,Gefallen
16,-29.04289616341522,54,Gefallen
17,-50.040553795123095,48,Gefallen
18,-45.566445968217145,47,Gefallen
19,-41.7810620351563,49,Gefallen
20,-34.08971645951162,50,Gefallen
21,-45.74728510898628,48,Gefallen
22,-38.61197118306577,50,Gefallen
23,-56.89901282863422,43,Gefallen
24,-36.30898804466929,49,Gefallen
25,-36.72149944567073,49,Gefallen
26,-42.02985222483168,47,Gefallen
27,-45.87193790593736,46,Gefallen
28,-56.18862460881907,44,Gefallen
29,-39.049316293659125,47,Gefallen
30,-42.261320963765655,46,Gefallen
