episode,reward,length,termination_reason
1,-26.71004013429271,55,Gefallen
2,-33.05936437689944,52,Gefallen
3,-35.41261550013607,60,Gefallen
4,-45.02166671454737,48,Gefallen
5,-51.83402318412451,45,Gefallen
6,-42.42758007834455,60,Gefallen
7,-50.42704086776832,48,Gefallen
8,-31.584648501204583,63,Gefallen
9,-32.71566466874316,64,Gefallen
10,-53.20136862999016,46,Gefallen
11,-29.6681396948683,54,Gefallen
12,-61.73742646982923,42,Gefallen
13,-38.09637977119143,49,Gefallen
14,-35.375972159999904,52,Gefallen
15,-62.21466400613148,41,Gefallen
16,-47.82742051708659,56,Gefallen
17,-33.64005589416283,58,Gefallen
18,-58.8757392859195,44,Gefallen
19,-37.28186634020383,49,Gefallen
20,-29.88591789220179,67,Gefallen
21,-40.11348804734998,51,Gefallen
22,-31.7321265258755,66,Gefallen
23,-36.470728789138306,50,Gefallen
24,-30.779050459038473,66,Gefallen
25,-31.871196327017813,62,Gefallen
26,-56.65039679780479,52,Gefallen
27,-49.805557535560176,51,Gefallen
28,-33.65313364153744,53,Gefallen
29,-54.335749271224756,57,Gefallen
30,-58.517872772426855,43,Gefallen
