episode,reward,length,termination_reason
1,-48.023608587940366,48,Gefallen
2,-20.233442083960313,74,Gefallen
3,-59.75716524068455,53,Gefallen
4,-38.5905201425083,69,Gefallen
5,-38.97804706900268,63,Gefallen
6,-27.660028782977676,67,Gefallen
7,-45.758368561147535,63,Gefallen
8,-43.86425909650645,66,Gefallen
9,-19.81046323935449,92,Gefallen
10,-41.96028792629749,93,Gefallen
11,-60.634685862196335,61,Gefallen
12,-18.95158517191281,97,Gefallen
13,-36.394901673864034,65,Gefallen
14,-59.54040071978832,49,Gefallen
15,-57.142851014374465,45,Gefallen
16,-32.30562438015231,68,Gefallen
17,-34.85954251212408,69,Gefallen
18,-21.84533440477314,74,Gefallen
19,-55.35566496648338,53,Gefallen
20,-41.84417695846218,65,Gefallen
21,-47.16205160990834,59,Gefallen
22,-22.62507782134827,74,Gefallen
23,-32.890189492255956,95,Gefallen
24,-52.80219954790108,57,Gefallen
25,-24.65796798180638,71,Gefallen
26,-50.863954274246055,47,Gefallen
27,-38.302696334756796,67,Gefallen
28,-30.882248512119588,66,Gefallen
29,-42.28374435145289,67,Gefallen
30,-24.241746434186467,72,Gefallen
