episode,reward,length,termination_reason
1,-40.32391569381409,48,Gefallen
2,-60.36145924379315,42,Gefallen
3,-32.60654631092855,52,Gefallen
4,-31.735874393394994,52,Gefallen
5,-33.76525045025927,51,Gefallen
6,-33.404578477716484,51,Gefallen
7,-36.448346984108696,49,Gefallen
8,-53.733943255654665,45,Gefallen
9,-31.083440850998414,53,Gefallen
10,-27.26254555057355,55,Gefallen
11,-58.17574722738717,43,Gefallen
12,-57.00462371633222,44,Gefallen
13,-44.7663976594367,48,Gefallen
14,-30.357207208044215,53,Gefallen
15,-49.76625702772605,44,Gefallen
16,-55.302318115521196,46,Gefallen
17,-25.996011990672798,56,Gefallen
18,-32.42534939700042,52,Gefallen
19,-33.150699285696945,51,Gefallen
20,-27.861914485457874,55,Gefallen
21,-40.27851280375451,47,Gefallen
22,-54.67062799990136,43,Gefallen
23,-52.02168570097436,45,Gefallen
24,-57.517543375730774,46,Gefallen
25,-56.200321729914045,43,Gefallen
26,-31.993954540216393,52,Gefallen
27,-48.03671216356715,47,Gefallen
28,-49.30375805990225,45,Gefallen
29,-37.73251944876609,48,Gefallen
30,-29.4930990458804,54,Gefallen
