episode,reward,length,termination_reason
1,-33.3610335000145,51,Gefallen
2,-39.156658865151094,47,Gefallen
3,-55.80615175784289,42,Gefallen
4,-34.056949236622316,52,Gefallen
5,-42.89354290140495,50,Gefallen
6,-60.83588667228456,43,Gefallen
7,-35.116312874033426,50,Gefallen
8,-45.056480159725105,48,Gefallen
9,-29.93002405408916,54,Gefallen
10,-30.559404884156237,53,Gefallen
11,-55.73210772609799,45,Gefallen
12,-41.221449641687755,51,Gefallen
13,-38.51056421222086,49,Gefallen
14,-36.83549030720319,49,Gefallen
15,-39.80775655742999,47,Gefallen
16,-60.89197297283942,42,Gefallen
17,-41.45692168661659,49,Gefallen
18,-38.717894386928286,47,Gefallen
19,-35.10383775553383,50,Gefallen
20,-50.231735816954654,45,Gefallen
21,-38.215772660778285,48,Gefallen
22,-32.94698899816814,51,Gefallen
23,-34.63855921598031,50,Gefallen
24,-54.305537262282,45,Gefallen
25,-35.638009327698114,50,Gefallen
26,-40.98516650688165,47,Gefallen
27,-48.39537085716757,44,Gefallen
28,-28.439144069580976,55,Gefallen
29,-58.34864620392429,42,Gefallen
30,-29.467434407169947,54,Gefallen
