episode,reward,length,termination_reason
1,-51.504157688465924,59,Gefallen
2,-51.046044494333024,60,Gefallen
3,-59.052857215949885,57,Gefallen
4,-56.450549145036504,57,Gefallen
5,-33.896161314456975,61,Gefallen
6,-51.47271084083688,47,Gefallen
7,-40.107597912925215,65,Gefallen
8,-37.119043839128146,51,Gefallen
9,-42.235073711649726,50,Gefallen
10,-26.865653791100513,58,Gefallen
11,-33.051115908841496,67,Gefallen
12,-29.777705080153112,53,Gefallen
13,-30.630916147780965,54,Gefallen
14,-54.82860853525578,45,Gefallen
15,-32.78373843840599,66,Gefallen
16,-32.517600001309276,66,Gefallen
17,-43.1519522077353,49,Gefallen
18,-49.81749398444248,60,Gefallen
19,-23.132806539621726,86,Gefallen
20,-46.79384445417749,57,Gefallen
21,-48.55474449007937,48,Gefallen
22,-39.55706161348291,62,Gefallen
23,-52.341606447465146,63,Gefallen
24,-54.0947000676438,47,Gefallen
25,-27.788806560046964,55,Gefallen
26,-56.73623022040576,60,Gefallen
27,-56.931068661545375,44,Gefallen
28,-29.654280671989838,66,Gefallen
29,-57.58443636422959,50,Gefallen
30,-35.04204992501154,63,Gefallen
