episode,reward,length,termination_reason
1,-39.257956649681624,59,Gefallen
2,-63.474568462079894,40,Gefallen
3,-34.73422027900591,50,Gefallen
4,-60.28009522462868,42,Gefallen
5,-29.112238356238947,54,Gefallen
6,-49.33778016578531,45,Gefallen
7,-41.492715865664856,47,Gefallen
8,-30.816475185987954,53,Gefallen
9,-37.657351022509346,50,Gefallen
10,-35.575057888000586,50,Gefallen
11,-28.99329131238636,55,Gefallen
12,-29.368208324839188,54,Gefallen
13,-37.97074128680357,50,Gefallen
14,-33.34867413530482,51,Gefallen
15,-31.63234777269963,52,Gefallen
16,-46.02713381829228,47,Gefallen
17,-26.96899814349689,56,Gefallen
18,-60.60183946447871,43,Gefallen
19,-41.70705585046527,49,Gefallen
20,-30.650491500337793,53,Gefallen
21,-54.13887265164734,46,Gefallen
22,-44.09404085273148,48,Gefallen
23,-49.11681060261228,45,Gefallen
24,-56.726544269551475,44,Gefallen
25,-34.55486193406736,62,Gefallen
26,-33.80690040571925,51,Gefallen
27,-60.304720570204914,45,Gefallen
28,-39.46749971206772,59,Gefallen
29,-60.26352477575895,42,Gefallen
30,-40.08196981612851,49,Gefallen
