episode,reward,length,termination_reason
1,-41.53242514519052,48,Gefallen
2,-41.27715856249137,46,Gefallen
3,-51.26746600723645,46,Gefallen
4,-30.409657661981555,53,Gefallen
5,-34.76184578777631,51,Gefallen
6,-49.01149223758045,46,Gefallen
7,-58.00763555671602,44,Gefallen
8,-37.21742134913164,48,Gefallen
9,-30.867192974670658,53,Gefallen
10,-34.191115879164514,51,Gefallen
11,-43.01451634044123,49,Gefallen
12,-40.032893063298495,47,Gefallen
13,-27.10918867334685,55,Gefallen
14,-49.83513273678245,46,Gefallen
15,-56.706933170707174,43,Gefallen
16,-58.93671966528283,43,Gefallen
17,-47.75261395916487,48,Gefallen
18,-34.33370481186407,52,Gefallen
19,-29.63799110661091,54,Gefallen
20,-31.60373995101034,53,Gefallen
21,-57.98366239176816,44,Gefallen
22,-45.164105516405314,47,Gefallen
23,-29.70387815329758,54,Gefallen
24,-38.81706481458211,50,Gefallen
25,-62.13235317964553,42,Gefallen
26,-37.47268969036758,48,Gefallen
27,-54.981737863365495,47,Gefallen
28,-56.78423930689079,44,Gefallen
29,-47.11614393112373,45,Gefallen
30,-44.84817379373234,46,Gefallen
