episode,reward,length,termination_reason
1,-59.594868692254636,42,Gefallen
2,-40.31794645084047,48,Gefallen
3,-37.921214409515336,49,Gefallen
4,-55.45905873249681,44,Gefallen
5,-42.959128620197326,47,Gefallen
6,-50.39281439610689,44,Gefallen
7,-52.38935980139793,47,Gefallen
8,-50.70927877287811,43,Gefallen
9,-54.814789832837874,43,Gefallen
10,-55.927103928384014,43,Gefallen
11,-36.48389364988826,50,Gefallen
12,-62.567448216543895,40,Gefallen
13,-50.489878068852164,44,Gefallen
14,-36.61963277218723,49,Gefallen
15,-58.947795824064436,44,Gefallen
16,-40.31631515067169,51,Gefallen
17,-35.99393693443159,49,Gefallen
18,-26.565952449625968,56,Gefallen
19,-49.71488558465996,44,Gefallen
20,-31.069242347319502,53,Gefallen
21,-27.99539607477547,55,Gefallen
22,-41.87230050540857,50,Gefallen
23,-37.20148423459634,49,Gefallen
24,-51.00004238896606,48,Gefallen
25,-38.62747650780013,51,Gefallen
26,-48.53133656802151,46,Gefallen
27,-40.63129777438629,49,Gefallen
28,-33.23794171810573,51,Gefallen
29,-35.55570393401126,50,Gefallen
30,-45.70186391333336,48,Gefallen
