episode,reward,length,termination_reason
1,275.5311809169046,5000,Timeout
2,254.3065627101425,5000,Timeout
3,234.83338576475685,5000,Timeout
4,290.5484662435981,5000,Timeout
5,257.8341107389252,5000,Timeout
6,271.23575732648777,5000,Timeout
7,249.41131397885488,5000,Timeout
8,282.6943767184056,5000,Timeout
9,227.2005127342892,5000,Timeout
10,272.28097248073993,5000,Timeout
11,280.98955827914466,5000,Timeout
12,-32.295475645900666,74,Gefallen
13,275.34906708426826,5000,Timeout
14,-44.27402209254904,72,Gefallen
15,257.43346330279365,5000,Timeout
16,273.4626432496391,5000,Timeout
17,236.6746647393974,5000,Timeout
18,273.92829979751855,5000,Timeout
19,286.44455468525655,5000,Timeout
20,222.65452900497,5000,Timeout
21,235.73869267017534,5000,Timeout
22,248.14009064439588,5000,Timeout
23,285.2194937533959,5000,Timeout
24,277.4330097275109,5000,Timeout
25,245.5638475745759,5000,Timeout
26,279.46994298378195,5000,Timeout
27,288.65717657673326,5000,Timeout
28,245.2369428293209,5000,Timeout
29,262.4039463591789,5000,Timeout
30,276.0764444576692,5000,Timeout
