episode,reward,length,termination_reason
1,-32.29382060068171,52,Gefallen
2,-31.88499073571849,63,Gefallen
3,-51.8755399842038,55,Gefallen
4,-32.43534368935573,63,Gefallen
5,-33.26436123870843,60,Gefallen
6,-30.350278048674923,67,Gefallen
7,-26.428485967084143,56,Gefallen
8,-29.999467162542942,66,Gefallen
9,-31.100020043068824,67,Gefallen
10,-42.18923896299634,54,Gefallen
11,-29.826657493093293,65,Gefallen
12,-58.59918709916035,54,Gefallen
13,-47.427809427346915,51,Gefallen
14,-46.4649952733331,49,Gefallen
15,-33.83494920173014,51,Gefallen
16,-50.6163883020073,47,Gefallen
17,-44.03880060342676,61,Gefallen
18,-30.64019146545793,67,Gefallen
19,-55.40512418142875,44,Gefallen
20,-59.3895764652538,43,Gefallen
21,-29.792894403872168,67,Gefallen
22,-33.21764939696297,63,Gefallen
23,-40.28538056161975,50,Gefallen
24,-34.952129013944116,51,Gefallen
25,-61.987918854036664,51,Gefallen
26,-59.069610276053474,57,Gefallen
27,-28.901572804849025,54,Gefallen
28,-44.425032125701016,49,Gefallen
29,-30.469943809146244,59,Gefallen
30,-52.00276130624268,48,Gefallen
