episode,reward,length,termination_reason
1,-52.44234140321089,44,Gefallen
2,-43.251760189803456,45,Gefallen
3,-38.790029118373894,48,Gefallen
4,-34.47861392514791,50,Gefallen
5,-33.97806115431483,50,Gefallen
6,-36.32230117676148,52,Gefallen
7,-42.91058320834518,47,Gefallen
8,-33.535473278391734,52,Gefallen
9,-48.997560009537466,44,Gefallen
10,-49.75276784286696,46,Gefallen
11,-58.09161200685678,44,Gefallen
12,-49.63367138721647,47,Gefallen
13,-33.933267989564186,51,Gefallen
14,-41.218092549637355,46,Gefallen
15,-45.09862416755936,49,Gefallen
16,-37.66204574526666,48,Gefallen
17,-36.42455853535232,49,Gefallen
18,-31.35259550175759,52,Gefallen
19,-42.82368593378501,48,Gefallen
20,-40.51492779442315,51,Gefallen
21,-36.728210067702406,49,Gefallen
22,-55.28276784398428,43,Gefallen
23,-36.19255528599415,49,Gefallen
24,-51.42243698934802,47,Gefallen
25,-27.13580047877838,55,Gefallen
26,-45.555993870349276,45,Gefallen
27,-30.275934057476093,53,Gefallen
28,-36.62004976807635,49,Gefallen
29,-48.83803782449948,47,Gefallen
30,-35.339694319785494,50,Gefallen
