episode,reward,length,termination_reason
1,-44.47603796613422,49,Gefallen
2,-31.051071032421717,53,Gefallen
3,-35.086232462416746,50,Gefallen
4,-56.20013447457178,43,Gefallen
5,-49.08325557243335,45,Gefallen
6,-33.19479578237001,51,Gefallen
7,-49.881511474712546,46,Gefallen
8,-43.0650987965019,47,Gefallen
9,-47.7630424293656,46,Gefallen
10,-29.7621158330646,53,Gefallen
11,-27.924933955411092,55,Gefallen
12,-57.803400171462336,45,Gefallen
13,-44.30626515135511,47,Gefallen
14,-38.018358176209674,51,Gefallen
15,-46.41438236534125,47,Gefallen
16,-37.234456526290096,49,Gefallen
17,-56.363109776855566,44,Gefallen
18,-38.99251555508516,49,Gefallen
19,-61.968007685434,41,Gefallen
20,-34.483134637307714,50,Gefallen
21,-55.617760658217385,45,Gefallen
22,-39.772284621599276,49,Gefallen
23,-38.508523154412124,49,Gefallen
24,-48.507693660452695,44,Gefallen
25,-55.59412961975655,44,Gefallen
26,-39.12562208697599,50,Gefallen
27,-30.706254971965677,53,Gefallen
28,-47.0266922425264,45,Gefallen
29,-31.181627842787933,53,Gefallen
30,-28.796045898465323,54,Gefallen
