episode,reward,length,termination_reason
1,-57.330754384588985,43,Gefallen
2,-34.335693646726995,50,Gefallen
3,-35.14385273439058,50,Gefallen
4,-55.784066824366825,43,Gefallen
5,-54.637128255859324,47,Gefallen
6,-38.5880110686274,47,Gefallen
7,-48.32495602246684,46,Gefallen
8,-35.32743976403111,50,Gefallen
9,-33.4062027769335,51,Gefallen
10,-51.06195431500763,47,Gefallen
11,-55.7189607668861,42,Gefallen
12,-30.274703395920085,53,Gefallen
13,-27.700587753377732,55,Gefallen
14,-29.984194374697765,54,Gefallen
15,-34.9735089020478,50,Gefallen
16,-58.6552907259884,45,Gefallen
17,-58.35882151775645,42,Gefallen
18,-51.88401153358694,46,Gefallen
19,-34.94685046783786,50,Gefallen
20,-36.31955366118408,51,Gefallen
21,-38.21101831197583,48,Gefallen
22,-34.106141953224906,52,Gefallen
23,-41.75166197302146,46,Gefallen
24,-53.618373404545345,44,Gefallen
25,-34.05987064076585,51,Gefallen
26,-38.01044008194103,48,Gefallen
27,-58.4830398365182,44,Gefallen
28,-29.846453584868968,54,Gefallen
29,-40.87584533060514,48,Gefallen
30,-55.410112363818385,43,Gefallen
