episode,reward,length,termination_reason
1,-60.35295934121486,43,Gefallen
2,-46.00196880466658,46,Gefallen
3,-36.25956958866868,50,Gefallen
4,-55.30671656412618,45,Gefallen
5,-33.37109921439162,51,Gefallen
6,-55.32352275250563,44,Gefallen
7,-42.311714333066476,46,Gefallen
8,-57.757820311662755,43,Gefallen
9,-38.75050454664469,50,Gefallen
10,-39.891076760454055,48,Gefallen
11,-35.6639294101867,50,Gefallen
12,-35.97063524270547,51,Gefallen
13,-45.317833912571,50,Gefallen
14,-48.67388824792828,45,Gefallen
15,-37.161485122869784,49,Gefallen
16,-52.512780286463595,46,Gefallen
17,-51.93882198418613,46,Gefallen
18,-34.916923707476116,50,Gefallen
19,-47.27101016245322,48,Gefallen
20,-37.2534988983114,48,Gefallen
21,-36.09730076416069,50,Gefallen
22,-31.179323209218495,52,Gefallen
23,-46.14106950207726,45,Gefallen
24,-30.655460680285074,53,Gefallen
25,-44.96543749950044,45,Gefallen
26,-36.47024147971954,51,Gefallen
27,-29.8046592584504,54,Gefallen
28,-52.90115786085444,45,Gefallen
29,-42.50734015887856,49,Gefallen
30,-35.74601761346338,50,Gefallen
